user_id,night_plays
user_89,8
user_20,7
user_82,6
user_60,5
user_94,5
user_11,4
user_12,4
user_18,4
user_25,4
user_29,4
user_44,4
user_45,4
user_49,4
user_66,4
user_86,4
user_16,3
user_17,3
user_2,3
user_31,3
user_33,3
user_40,3
user_42,3
user_51,3
user_59,3
user_62,3
user_63,3
user_79,3
user_80,3
user_85,3
user_9,3
user_90,3
user_92,3
user_93,3
user_98,3
user_100,2
user_15,2
user_23,2
user_24,2
user_28,2
user_30,2
user_32,2
user_36,2
user_37,2
user_43,2
user_46,2
user_48,2
user_5,2
user_50,2
user_53,2
user_55,2
user_56,2
user_58,2
user_64,2
user_65,2
user_69,2
user_7,2
user_70,2
user_71,2
user_72,2
user_73,2
user_75,2
user_77,2
user_81,2
user_88,2
user_97,2
user_1,1
user_10,1
user_13,1
user_22,1
user_26,1
user_27,1
user_38,1
user_39,1
user_4,1
user_41,1
user_47,1
user_54,1
user_57,1
user_61,1
user_76,1
user_78,1
user_83,1
user_91,1
user_95,1
user_99,1
