song_id,title,avg_duration_sec,play_count
song_39,Title_song_39,206.42,12
song_12,Title_song_12,194.71,21
song_19,Title_song_19,190.92,13
song_35,Title_song_35,187.83,12
song_45,Title_song_45,178.05,21
song_36,Title_song_36,177.5,16
song_46,Title_song_46,177.17,18
song_42,Title_song_42,176.4,15
song_8,Title_song_8,176.3,27
song_40,Title_song_40,174.11,19
song_43,Title_song_43,171.53,30
song_41,Title_song_41,168.91,23
song_21,Title_song_21,168.41,17
song_10,Title_song_10,168.07,14
song_20,Title_song_20,167.82,11
song_24,Title_song_24,167.74,27
song_25,Title_song_25,166.36,22
song_4,Title_song_4,166.07,15
song_23,Title_song_23,165.67,18
song_30,Title_song_30,165.62,21
song_27,Title_song_27,165.6,15
song_34,Title_song_34,164.06,17
song_49,Title_song_49,163.84,19
song_31,Title_song_31,163.13,24
song_17,Title_song_17,162.72,29
song_11,Title_song_11,162.61,18
song_3,Title_song_3,160.58,26
song_5,Title_song_5,160.5,18
song_28,Title_song_28,159.8,20
song_18,Title_song_18,158.63,16
song_9,Title_song_9,158.0,10
song_6,Title_song_6,157.0,17
song_38,Title_song_38,156.69,35
song_37,Title_song_37,156.39,18
song_1,Title_song_1,155.04,23
song_26,Title_song_26,154.86,22
song_33,Title_song_33,154.34,35
song_2,Title_song_2,154.24,17
song_14,Title_song_14,153.32,31
song_29,Title_song_29,153.18,22
song_47,Title_song_47,152.07,27
song_22,Title_song_22,150.0,18
song_16,Title_song_16,149.4,20
song_50,Title_song_50,148.18,11
song_32,Title_song_32,145.66,29
song_15,Title_song_15,144.0,15
song_7,Title_song_7,142.3,20
song_48,Title_song_48,141.94,17
song_13,Title_song_13,140.0,17
song_44,Title_song_44,129.77,22
